text,tag
окружющей → окружающей,ortho
промышленным → промышленных,agrcase
воздействую → воздействуя,syntax
желудожно-кишечный → желудочно-кишечный,"ortho, altern"
это →  ,syntax
свинцем → свинцом,infl
свинцем → свинцом,infl
загрязнение → загрязнения,gov
в процессе → в ходе,constr
свинцем → свинцом,infl
снижению → снижение,gov
однокурницы → однокурсницы,ortho
Исскуство → Искусство,ortho
Эксурсия → Экскурсия,ortho
музая → музея,altern
выбирает → стремится,lex
Во- третьих → В-третьих,altern
первом → нашем первом,ref
показывается перед лицом наблюдателя → бросается в глаза наблюдателю,constr
различием → отличием,lex
очевидно особенно → особенно очевидно,wo
в университетской жизни → в университете,constr
Только добавлю → Добавлю только,wo
как → как будто,conj
согласен почти полностью → почти полностью согласен,wo
- зависимость →  в зависимости,syntax
это пишется нами как → его можно сформулировать,constr
огромная → огромно,brev
одна → единственное,lex
разница → отличие,lex
эконмики → экономики,ortho
индивидом → индивидам,ortho
Именно → А именно,conj
по средствам → посредством,"ortho, space"
по средствам → посредством,"ortho, space"
стимула → стимулы,infl
регулирования → регулирование,num
государство → государства,gov
саморегулирующего → саморегулирующегося,"deriv, refl"
зависит → зависеть,ortho
Стали → Сталин,ortho
Как бы → Словно,conj
там →  ,syntax
везде. → повсюду,lex
"здания → здания,",punct
Стоив → Строя,asp
остаться → остался,agrpers
"власть, → власть",punct
этим великолепным зданием → это великолепное здание,gov
в городе Москва → города Москвы,constr
Стоимость продажи → Стоимость здания,constr
миллион → миллионов,num
Обретая → Приобретая,par
помещение → здание,lex
убеждаем → повторяем,lex
без домные → бездомные,space
средств → способов,lex
как → [MASK],conj
каторое → которое,ortho
англиском → английском,ortho
Один → Одним,gov
"написано → было написано,","tense, punct"
"нужны деньги попасть → нужны деньги, чтобы попасть",constr
"письмо → письмо,",punct
"девочка → девочка,",punct
"языке → языке,",punct
група → группа,ortho
дитей → детей,ortho
их → его,ref
ихнену → его,"ref, deriv"
"письмо → письмо,",punct
основу жизни → [MASK],lex
остановки → перерыва,lex
Мои обязанности включают → В мои обязанности входит,constr
так же → также,space
"огороде, → огороде",punct
"Он постоянно плачет,  бедный, → Он, бедный, постоянно плачет,",wo
имеет силь → начинает,"constr, asp"
вкус → вкусы,num
идеи → представления о,"lex, prep, gov"
изменять → менять,lex
нормальности → норме,lex
убедительный → убедительные,agrnum
25-ого → 25-го,ortho
будет рассказывать → расскажет,asp
подробнее → подробно,com
вебсайте → веб-сайте,hyphen
положит → кладет,asp
– пероидически →  время от времени,"lex, ortho"
"на пример → как, например","conj, space"
старом поезде → старых поездах,num
как → такие как,conj
9 → (,punct
правилно → правильно,ortho
что → кто,conj
сверам → сферам,ortho
професиональных → профессиональных,ortho
предлогать → предлагать,ortho
должно → должен,agrgender
с инструментами → с оркестром,lex
очень люблю → мне очень нравится,"lex, constr, gov"
прямые → искренние,lex
"её музыка,  хотя минорная → [MASK]","syntax, conj, wo"
намекает → [MASK],lex
в некоторое отличие → в отличие,"lex, constr, idiom, prep"
в приходе → прийти,constr
помогши → [MASK],deriv
кем за человека → что за человек,constr
"не только для Западной Европы,  но и для Восточной Европы → не только для Западной, но и для Восточной Европы","constr, conj"
способен → способным,brev
Чего → чего,ortho
правда → верны,lex
заговорщиком какого-то рода → [MASK],wo
в расчёт → во внимание,constr
свои → мои,ref
я нуждаюсь в ответах → мне нужно получить ответы,constr
Принимая в расчёт → Принимая во внимание,constr
мне кажется → можно считать,constr
какого-то →  ,ref
Портландском → Портлендском,translit
Современной → современной,ortho
Цель → Целью,syntax
нашей → нашего,agrgender
планы → расписания,lex
по своим интересам → по интересам,ref
по музыке и иностранным языкам → музыкой и иностранными языками,"gov, constr"
зависило → зависело,ortho
во сновном → в основном,misspell
платные компании и медицинская страховка → платные медицинские компании и страховка,constr
нетрадиционые → нетрадиционные,ortho
само лечением → самолечением,space
Ходить к врачам занимало → Поход к врачам занимал/ Посещение врачей занимало,constr
самопродукцией → самостоятельным производством/ сами шили одежду,lex
в → на,constr
как →  ,syntax
проважают → провожают,ortho
некоторие → некоторые,ortho
аксессуары → украшения,lex
самовыражение в одежде стало возможным → стало возможным самовыражение в одежде,"wo, syntax"
отсуствия → отсутствия,ortho
стал быть заметным → стал заметен,constr
из за → из-за,hyphen
"У кого больше денег,  тем лучше → Чем больше денег, тем лучше","constr, syntax"
разделения → различий,lex
эскурсия → экскурсия,ortho
трещены → трещины,ortho
выходят → просачиваются,lex
подтвергать → подвергать опасности,"constr, syntax"
эскурсия → экскурсия,ortho
что бы → чтобы,"conj, space"
радиционный → радиационный,ortho
что бы → чтобы,"conj, space"
познаний → познания,num
ее водил → появлялся вместе с ней,"constr, lex"
забыла → забыл,agrgender
ее → [MASK],idiom
печальной → трагичной,lex
его → своему,ref
такой → таковой,lex
том → тот,agrcase
ее → свою,ref
написанная → сформулированная,lex
провлемой → проблеме,"agrcase, gov"
женшинах → женщинах,ortho
рбенок → ребёнок,ortho
предуприждет → предупреждает,"ortho, misspell"
о → об,altern
родителий → родителей,infl
окуратно → аккуратно,"ortho, misspell"
один → одна,agrgender
не легко → непросто,par
найдется → найти,impers
ясна очень → очень ясна,wo
противников → оппонентов,lex
кризиса вообше не показывается → кризис вообще не заметен,"constr, lex"
берегов океанов → океаническое побережье,"lex, syntax"
внимание → внимания,"gov, infl"
такой → таких,"agrcase, agrnum"
черт → особенностей,lex
натуральных черт → природных особенностей,"lex, constr"
приходит → появляется,lex
видет → видеть,ortho
кризис → кризис нехватки,lex
противники → оппоненты,lex
приехали в такие места → побывали в таких местах,"constr, lex, asp"
кризисе → кризиса,"gov, agrcase"
сущность → существование,par
доказывать → доказать,asp
половим → [MASK],lex
противники → противников,"gov, agrcase"
но → а,"conj, lex"
тоже → также,lex
учение → ученые,lex
гуды → году,misspell
устроится → утроится,lex
тоже → и,"conj, lex, constr"
Факт → Этот факт,ref
проблема → проблема состоит,lex
использовании → использовании воды,lex
приходит → придёт,"asp, tense"
срочно → скоро,lex
к → ко,ortho
проблем → проблема,ortho
Во - третьих → В-третьих,ortho
договариваться → договориться,asp
из → их,lex
Противники → Оппоненты,lex
кризис → кризис - это,lex
еще → также,lex
не само по себе означает → само по себе не означает,neg
политика → политики,gov
само → само по себе,"lex, idiom"
кризис → кризиса,gov
Если → Если бы,mode
был → было,agrgender
обсужден → вести,lex
ситуаций → проблем,lex
для → [MASK],prep
кризис → кризиса,gov
Противники → Оппоненты,lex
для существования → [MASK],lex
огранизма → организма,ortho
сосоит → состоит,ortho
огранизм → организм,ortho
перегреваться → перегреться,asp
многим → многом,"agrcase, agrnum"
всего → из того,ref
в → во,ortho
Используя водой → Используя воду,"agrstr, gov, constr"
много → многие,lex
огранической → органической,ortho
для нас → нам,"gov, prep, constr"
не смотря → несмотря,space
его → свою,ref
Карьера неспециализированная → Неспециализированная карьера,wo
существуют тоже → тоже бывает,"wo, agrnum, lex"
менще здесь → здесь реже,"wo, ortho, lex"
в → на,conj
работчик → рабочий,deriv
занимаеться → занимается,infl
многими → разной,lex
работами → работой,num
у него → у него при этом,ref
карьера → есть карьера,aux
Может быт → Бывает,"ortho, constr"
специализированая → специализированная,ortho
болше → большую,"ortho, lex"
заплата → зарплату,"ortho, gov"
быт → быть,ortho
карера → карьера,ortho
одинаковой → одной,"lex, par"
правила → правления,"lex, par"
стабилизации → установлением,gov
Рус → Русь,"ortho, gender"
должен → должна была,"agrgender, tense"
выплачивать огромнную дань ежегодно → ежегодно выплачивать огромную дань,wo
одной причиной → одной из причин,"gov, constr, syntax"
Народу → Наряду,ortho
дать место → [MASK],"lex, idiom"
боялись → боялись того,ref
если → если бы,mode
может → могло,tense
консолидировали → объединили,lex
их → свои,ref
контролем → силы,lex
"обеспечили,  что → сделали так, чтобы","lex, constr"
и → а,conj
убили → убивали,asp
Татары → татары,ortho
заставил → заставлял,asp
пришли → [MASK],agrnum
в армию → идти в армию,lex
Явялось мало культурных достижений во время ига → Во время ига произошло мало культурных достижений,"wo, ortho, lex"
Татры → Татары,ortho
сами за себя → для себя,constr
его → их,num
сохранили → сохраняли,asp
строения → [MASK],lex
строения → [MASK],lex
желание → желании,gov
особенна → особенно,ortho
2009 ого → 2009-го,"ortho, hyphen"
дальней востоке → Дальнем Востоке,"ortho, agrgender"
в → на,prep
назвались → назывался,agrnum
дальней востоке → Дальний Восток,"syntax, ortho"
встречали → встречались,refl
каждый → один,lex
отношением → отношениями,num
19 ого → 19-го,"ortho, hyphen"
20 ого → 20-го,"ortho, hyphen"
Каждая неделя → Каждую неделю,constr
Некогда → Никогда,ortho
работы → работ,gov
проверила → проверяла,asp
через еженедельные доклады и разговоры → посредством еженедельных докладов и разговоров,prep
по- русский → по-русски,"space, deriv"
по- английский → по-английски,"space, deriv"
бло → была,"agrgender, ortho"
по- русский → по-русски,"space, deriv"
проводить → переводить,lex
русский → с русского,prep
равноправие → равноправия,gov
изменилось → изменилась,agrgender
праве → правах,agrnum
какие → какое,num
мнения → мнение,num
посещано → посвящено,ortho
а → но и,"conj, lex"
обинять → обвинять,del
действе → действиях,"lex, num"
решить → [MASK],insert
По моему → По-моему,hyphen
